"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Irinotecan Hydrochloride"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Cetuximab"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Doxorubicin Hydrochloride"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Fludarabine phosphate"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Irinotecan Hydrochloride"
"NCT00056329"|"Canada"|"National Institute on Aging (NIA)"|"Alzheimer Disease"|"Vitamin E"
"NCT00056329"|"Canada"|"National Institute on Aging (NIA)"|"Down Syndrome"|"Vitamin E"
"NCT00056472"|"Canada"|"National Institute of Mental Health (NIMH)"|"Major Depression With Psychotic Features"|"Olanzapine"
"NCT00056472"|"Canada"|"National Institute of Mental Health (NIMH)"|"Major Depression With Psychotic Features"|"Sertraline"
"NCT00057564"|"Canada"|"Celgene Corporation"|"Multiple Myeloma"|"Dexamethasone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cyclophosphamide"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cytarabine"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Doxorubicin Hydrochloride"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Leucovorin calcium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methotrexate"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methylprednisolone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Porfimer sodium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Prednisone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Doxorubicin Hydrochloride"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Leucovorin calcium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methylprednisolone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Porfimer sodium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Prednisone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclophosphamide"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cytarabine"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Doxorubicin Hydrochloride"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Leucovorin calcium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Methotrexate"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Methylprednisolone"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Porfimer sodium"
"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisone"
"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fludarabine phosphate"
"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fulvestrant"
"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Irinotecan Hydrochloride"
"NCT00058474"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"CCI-779"
"NCT00058474"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"NCT00059306"|"Canada"|"The University of Texas Health Science Center at San Antonio"|"Cerebrovascular Accident"|"3,4-Methylenedioxymethamphetamine"
"NCT00059306"|"Canada"|"The University of Texas Health Science Center at San Antonio"|"Hypertension"|"3,4-Methylenedioxymethamphetamine"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cytarabine"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Docetaxel"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Lapatinib ditosylate"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisolone"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Trastuzumab"
"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Vinblastine"
"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Trastuzumab"
"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"NCT00061932"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Bleomycin"
"NCT00061932"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Ifosfamide"
"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Cyclosporin"
"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Melphalan"
"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"NCT00064753"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Renal Transplant Recipients"|"Vitamin B12"
"NCT00065507"|"Canada"|"Bristol-Myers Squibb"|"Hepatitis B"|"Entecavir"
"NCT00066573"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Aminolevulinic acid"
"NCT00066573"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"NCT00066690"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"NCT00066690"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Tacrolimus"
"NCT00066703"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"NCT00066703"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Tacrolimus"
"NCT00069095"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Avastin"
"NCT00069095"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Oxaliplatin"
"NCT00069108"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"NCT00069108"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Metformin"
"NCT00069121"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"NCT00069121"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Metformin"
"NCT00069784"|"Canada"|"Sanofi-Aventis"|"Diabetes Mellitus, Non-Insulin-Dependent"|"Metformin"
"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Carboplatin"
"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Dexamethasone"
"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Leucovorin calcium"
"NCT00072904"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Cystic Fibrosis"|"Repaglinide"
"NCT00072904"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Diabetes Mellitus"|"Repaglinide"
"NCT00075582"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
"NCT00075582"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Daunorubicin Hydrochloride"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dexamethasone"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Doxorubicin Hydrochloride"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Leucovorin calcium"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Mercaptopurine"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Paclitaxel"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Pegaspargase"
"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thioguanine"
"NCT00075764"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Aminolevulinic acid"
"NCT00075764"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Asparaginase"
"NCT00076336"|"Canada"|"Novartis"|"Cirrhosis"|"Lamivudine"
"NCT00076336"|"Canada"|"Novartis"|"Cirrhosis"|"Telbivudine"
"NCT00076336"|"Canada"|"Novartis"|"Hepatitis B, Chronic"|"Lamivudine"
"NCT00076336"|"Canada"|"Novartis"|"Hepatitis B, Chronic"|"Telbivudine"
"NCT00076336"|"Canada"|"Novartis"|"Hepatitis"|"Lamivudine"
"NCT00076336"|"Canada"|"Novartis"|"Hepatitis"|"Telbivudine"
"NCT00077597"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Epoetin"
"NCT00077610"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Ibandronate"
"NCT00077636"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cetuximab"
"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclosporine"
"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Decitabine"
"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Fulvestrant"
"NCT00079001"|"Canada"|"National Cancer Institute (NCI)"|"Metastatic Cancer"|"Vinorelbine Ditartrate"
"NCT00079001"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Vinorelbine Ditartrate"
"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Ifosfamide"
"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"NCT00079482"|"Canada"|"Cephalon"|"Acute Myeloid Leukemia"|"Lenalidomide"
"NCT00081471"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"NCT00082277"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Anastrozole"
"NCT00082277"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Risedronate sodium"
"NCT00083174"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Carboplatin"
"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Dactinomycin"
"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Rituximab"
"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sargramostim"
"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dactinomycin"
"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Gemcitabine hydrochloride"
"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Levonorgestrel"
"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"NCT00086190"|"Canada"|"University of Rochester"|"Depression"|"Venlafaxine"
"NCT00086190"|"Canada"|"University of Rochester"|"Parkinson Disease"|"Venlafaxine"
"NCT00086281"|"Canada"|"Orphan Medical"|"Obstructive Sleep Apnea Syndrome"|"Zolpidem"
"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cisplatin"
"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Docetaxel"
"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Doxorubicin Hydrochloride"
"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Fludarabine phosphate"
"NCT00087646"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Ribavirin"
"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Cisplatin"
"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Gemcitabine"
"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Pemetrexed"
"NCT00091026"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fulvestrant"
"NCT00091858"|"Canada"|"Amgen"|"Anemia"|"Darbepoetin alfa"
"NCT00091858"|"Canada"|"Amgen"|"Cancer"|"Darbepoetin alfa"
"NCT00094029"|"Canada"|"Pfizer"|"Gastrointestinal Neoplasm"|"SU11248"
"NCT00095238"|"Canada"|"Bristol-Myers Squibb"|"Congestive Heart Failure"|"Irbesartan"
"NCT00095550"|"Canada"|"Bristol-Myers Squibb"|"Hypertension"|"Aripiprazole"
"NCT00096265"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Tamoxifen Citrate"
"NCT00096265"|"Canada"|"National Cancer Institute (NCI)"|"Metastatic Cancer"|"Tamoxifen Citrate"
"NCT00096785"|"Canada"|"Bristol-Myers Squibb"|"Chronic Disease"|"Entecavir"
"NCT00096785"|"Canada"|"Bristol-Myers Squibb"|"Hepatitis B"|"Entecavir"
"NCT00097448"|"Canada"|"National Institute on Deafness and Other Communication Disorders (NIDCD)"|"Sudden Deafness"|"Oxybutynin Hydrochloride"
"NCT00098306"|"Canada"|"Pfizer"|"HIV Infections"|"Doxazosin"
"NCT00098306"|"Canada"|"Pfizer"|"HIV Infections"|"Maraviroc"
"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Bone Neoplasms;"|"Zoledronic acid"
"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Neoplasm Metastasis"|"Zoledronic acid"
"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Pain;"|"Zoledronic acid"
"NCT00101595"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"NCT00101595"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Dasatinib"
"NCT00101647"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myelogenous Leukemia"|"Dasatinib"
"NCT00101660"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"NCT00101660"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Dasatinib"
"NCT00101816"|"Canada"|"Bristol-Myers Squibb"|"Blast Crisis"|"Dasatinib"
"NCT00101816"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Letrozole"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Octreotide acetate"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thalidomide"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vincristine Sulfate"
"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Aripiprazole"
"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Imatinib"
"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Aripiprazole"
"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Imatinib"
"NCT00105079"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Lopinavir"
"NCT00105079"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Ritonavir"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Cyclosporine"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Fluorouracil"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Hydromorphone HCL"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Mycophenolate mofetil"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Cyclosporine"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Fluorouracil"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Hydromorphone HCL"
"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Mycophenolate mofetil"
"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Dermatomyositis"|"Raptiva"
"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Juvenile Dermatomyositis"|"Raptiva"
"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Myositis"|"Raptiva"
"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Polymyositis"|"Raptiva"
"NCT00106522"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Bevacizumab"
"NCT00106522"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"NCT00106548"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"NCT00106574"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Bevacizumab"
"NCT00109408"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"NCT00112554"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"NCT00113087"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Heart Defects, Congenital"|"Acetylcysteine"
"NCT00113087"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Heart Failure, Congestive"|"Acetylcysteine"
"NCT00113516"|"Canada"|"Pfizer"|"Lung Neoplasms"|"Carboplatin"
"NCT00113516"|"Canada"|"Pfizer"|"Lung Neoplasms"|"Paclitaxel"
"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Cyclophosphamide"
"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Prednisolone"
"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Rituximab"
"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Vincristine"
"NCT00115726"|"Canada"|"University of Calgary"|"Congestive Heart Failure"|"Capecitabine"
"NCT00115726"|"Canada"|"University of Calgary"|"Edema"|"Capecitabine"
"NCT00115726"|"Canada"|"University of Calgary"|"Hypertension"|"Capecitabine"
"NCT00115726"|"Canada"|"University of Calgary"|"Hypotension"|"Capecitabine"
"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Mycophenolate mofetil"
"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Prednisone"
"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Flutter"|"Mycophenolate mofetil"
"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Flutter"|"Prednisone"
"NCT00116805"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Adefovir Dipivoxil"
"NCT00116805"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Tenofovir disoproxil fumarate"
"NCT00117676"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Adefovir Dipivoxil"
"NCT00117676"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"rapamycin"
"NCT00119717"|"Canada"|"CoAxia"|"Cerebrovascular Accident"|"Control"
"NCT00123474"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Chronic-Phase"|"Dasatinib"
"NCT00123474"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Chronic-Phase"|"Hydrochlorothiazide"
"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Dasatinib"
