"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"117"|"NCT00075582"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"118"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"119"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"120"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Daunorubicin Hydrochloride"
"121"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dexamethasone"
"122"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Doxorubicin Hydrochloride"
"123"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Leucovorin calcium"
"124"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Mercaptopurine"
"125"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"126"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Paclitaxel"
"127"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Pegaspargase"
"128"|"NCT00075725"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thioguanine"
"129"|"NCT00075764"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Aminolevulinic acid"
"130"|"NCT00075764"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Asparaginase"
"131"|"NCT00076336"|"Canada"|"Novartis"|"Cirrhosis"|"Lamivudine"
"132"|"NCT00076336"|"Canada"|"Novartis"|"Cirrhosis"|"Telbivudine"
"133"|"NCT00076336"|"Canada"|"Novartis"|"Hepatitis B, Chronic"|"Lamivudine"
"134"|"NCT00076336"|"Canada"|"Novartis"|"Hepatitis B, Chronic"|"Telbivudine"
"135"|"NCT00076336"|"Canada"|"Novartis"|"Hepatitis"|"Lamivudine"
"136"|"NCT00076336"|"Canada"|"Novartis"|"Hepatitis"|"Telbivudine"
"137"|"NCT00077597"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Epoetin"
"138"|"NCT00077610"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Ibandronate"
"139"|"NCT00077636"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"140"|"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cetuximab"
"141"|"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclosporine"
"142"|"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Decitabine"
"143"|"NCT00078949"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Fulvestrant"
"144"|"NCT00079001"|"Canada"|"National Cancer Institute (NCI)"|"Metastatic Cancer"|"Vinorelbine Ditartrate"
"145"|"NCT00079001"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Vinorelbine Ditartrate"
"146"|"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"147"|"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Ifosfamide"
"148"|"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"149"|"NCT00079274"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"150"|"NCT00079482"|"Canada"|"Cephalon"|"Acute Myeloid Leukemia"|"Lenalidomide"
"151"|"NCT00081471"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"152"|"NCT00082277"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Anastrozole"
"153"|"NCT00082277"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Risedronate sodium"
"154"|"NCT00083174"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"155"|"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Carboplatin"
"156"|"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Dactinomycin"
"157"|"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Rituximab"
"158"|"NCT00085098"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sargramostim"
"159"|"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"160"|"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"161"|"NCT00085202"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"162"|"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"163"|"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dactinomycin"
"164"|"NCT00085709"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Gemcitabine hydrochloride"
"165"|"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"166"|"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"167"|"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Levonorgestrel"
"168"|"NCT00085735"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"169"|"NCT00086190"|"Canada"|"University of Rochester"|"Depression"|"Venlafaxine"
"170"|"NCT00086190"|"Canada"|"University of Rochester"|"Parkinson Disease"|"Venlafaxine"
"171"|"NCT00086281"|"Canada"|"Orphan Medical"|"Obstructive Sleep Apnea Syndrome"|"Zolpidem"
"172"|"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cisplatin"
"173"|"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Docetaxel"
"174"|"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Doxorubicin Hydrochloride"
"175"|"NCT00087178"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Fludarabine phosphate"
"176"|"NCT00087646"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Ribavirin"
"177"|"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Cisplatin"
"178"|"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Gemcitabine"
"179"|"NCT00087711"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Carcinoma"|"Pemetrexed"
"180"|"NCT00091026"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fulvestrant"
"181"|"NCT00091858"|"Canada"|"Amgen"|"Anemia"|"Darbepoetin alfa"
"182"|"NCT00091858"|"Canada"|"Amgen"|"Cancer"|"Darbepoetin alfa"
"183"|"NCT00094029"|"Canada"|"Pfizer"|"Gastrointestinal Neoplasm"|"SU11248"
"184"|"NCT00095238"|"Canada"|"Bristol-Myers Squibb"|"Congestive Heart Failure"|"Irbesartan"
"185"|"NCT00095550"|"Canada"|"Bristol-Myers Squibb"|"Hypertension"|"Aripiprazole"
"186"|"NCT00096265"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Tamoxifen Citrate"
"187"|"NCT00096265"|"Canada"|"National Cancer Institute (NCI)"|"Metastatic Cancer"|"Tamoxifen Citrate"
"188"|"NCT00096785"|"Canada"|"Bristol-Myers Squibb"|"Chronic Disease"|"Entecavir"
"189"|"NCT00096785"|"Canada"|"Bristol-Myers Squibb"|"Hepatitis B"|"Entecavir"
"190"|"NCT00097448"|"Canada"|"National Institute on Deafness and Other Communication Disorders (NIDCD)"|"Sudden Deafness"|"Oxybutynin Hydrochloride"
"191"|"NCT00098306"|"Canada"|"Pfizer"|"HIV Infections"|"Doxazosin"
"192"|"NCT00098306"|"Canada"|"Pfizer"|"HIV Infections"|"Maraviroc"
"193"|"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Bone Neoplasms;"|"Zoledronic acid"
"194"|"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Neoplasm Metastasis"|"Zoledronic acid"
"195"|"NCT00099203"|"Canada"|"Hoffmann-La Roche"|"Pain;"|"Zoledronic acid"
"196"|"NCT00101595"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"197"|"NCT00101595"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Dasatinib"
"198"|"NCT00101647"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myelogenous Leukemia"|"Dasatinib"
"199"|"NCT00101660"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"200"|"NCT00101660"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Dasatinib"
"201"|"NCT00101816"|"Canada"|"Bristol-Myers Squibb"|"Blast Crisis"|"Dasatinib"
"202"|"NCT00101816"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Dasatinib"
"203"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cisplatin"
"204"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"205"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Docetaxel"
"206"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Letrozole"
"207"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Memantine Hydrochloride"
"208"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Octreotide acetate"
"209"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Thalidomide"
"210"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vinblastine"
"211"|"NCT00103285"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Vincristine Sulfate"
"212"|"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Aripiprazole"
"213"|"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Chronic Myeloid Leukemia"|"Imatinib"
"214"|"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Aripiprazole"
"215"|"NCT00103844"|"Canada"|"Bristol-Myers Squibb"|"Philadelphia-Positive Myeloid Leukemia"|"Imatinib"
"216"|"NCT00105079"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Lopinavir"
"217"|"NCT00105079"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Ritonavir"
"218"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Cyclosporine"
"219"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Fluorouracil"
"220"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Hydromorphone HCL"
"221"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Disease"|"Mycophenolate mofetil"
"222"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Cyclosporine"
"223"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Fluorouracil"
"224"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Hydromorphone HCL"
"225"|"NCT00105235"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Liver Transplantation"|"Mycophenolate mofetil"
"226"|"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Dermatomyositis"|"Raptiva"
"227"|"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Juvenile Dermatomyositis"|"Raptiva"
"228"|"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Myositis"|"Raptiva"
"229"|"NCT00106184"|"Canada"|"National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)"|"Polymyositis"|"Raptiva"
"230"|"NCT00106522"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Bevacizumab"
"231"|"NCT00106522"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"232"|"NCT00106548"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"233"|"NCT00106574"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Bevacizumab"
"234"|"NCT00109408"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"235"|"NCT00112554"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"236"|"NCT00113087"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Heart Defects, Congenital"|"Acetylcysteine"
"237"|"NCT00113087"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Heart Failure, Congestive"|"Acetylcysteine"
"238"|"NCT00113516"|"Canada"|"Pfizer"|"Lung Neoplasms"|"Carboplatin"
"239"|"NCT00113516"|"Canada"|"Pfizer"|"Lung Neoplasms"|"Paclitaxel"
"240"|"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Cyclophosphamide"
"241"|"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Prednisolone"
